source,date,headline,entities
daily_nation,2012-03-25,GAITHO: Gema may erode Uhuru appeal,"uhuru, gaitho, gema"
standard,2012-03-26,Ruto backs Uhuru as Raila digs i,"uhuru, raila, ruto"
daily_nation,2012-03-27,Uhuru tells Raila to prepare for defeat in polls,"uhuru, raila, ruto"
standard,2012-03-27,Kanu plans Uhuru ouster over The Hague trial,"kanu, uhuru, icc"
standard,2012-03-28,Uhuru defends his endorsement by GEMA ...,"uhuru, gema"
daily_nation,2012-03-30,"Uhuru, Muthaura case assigned to Trial Chamber V","uhuru, muthaura, trial chamber"
standard,2012-04-05,"How Ruto, Uhuru hope to delay ICC","icc, uhuru, ruto"
daily_nation,2012-04-08,Now ODM wants Uhuru sacked,"odm, uhuru"
daily_nation,2012-04-10,Let Kenyatta and Ruto vie for presidency - VP,"uhuru, ruto"
daily_nation,2012-04-17,"Uhuru, Ruto quizzed on Raila death claim","uhuru, ruto, raila"
standard,2012-04-26,Uhuru faces challenge in Central as third force emerges,"uhuru, central"
standard,2012-04-28,"Uhuru, Muthaura prefer an open hearing","uhuru, muthaura"
standard,2012-05-04,Uhuru had also been linked with UDF but rejected i,"uhuru, udf"
daily_nation,2012-05-05,Catholics back Uhuru and Ruto on election bid,"uhuru, ruto"
daily_nation,2012-05-09,"ICC rejects Uhuru, Muthaura bid for oral submissions","icc, uhuru, muthaura"
standard,2012-05-11,MPs split over plot for Uhuru to step down back Mudavadi,"uhuru, mudavadi"
standard,2012-05-11,"ICC: Chamber denies Uhuru, Muthaura requests for oral appeals","icc, uhuru, muthaura"
standard,2012-05-11,Uhuru hints on his move to national Alliance party,"uhuru, tna"
daily_nation,2012-05-12,Ruto and Uhuru parties get nod,"uhuru, ruto"
standard,2012-05-12,Uhuru's national Alliance Party to recruit youths,"uhuru, tna"
standard,2012-05-20,Uhuru rocks Central boa,"uhuru, central"
daily_nation,2012-05-22,GAITHO: Uhuru can sure lay out a party,"uhuru, gaitho"
standard,2012-05-22,Uhuru during launch of TNA,"uhuru, tna"
standard,2012-05-23,Wamalwa: I am not Uhurus running mate,"wamalwa, uhuru"
standard,2012-05-23,Wamalwa denies he is Uhuru's running mate,"wamalwa, uhuru"
standard,2012-05-24,Wachanganuzi Kuhusu Uhuru na Wamalwa,"wamalwa, uhuru"
standard,2012-05-25,Scramble for Uhuru's TNA,"uhuru, tna"
standard,2012-05-26,PM Uhuru: ICC will pass,"uhuru, icc"
standard,2012-05-28,Kiraitu says Alliance Party of Kenya will unite Kalonzo Uhuru and Saitoti and front one candidate at the General Election.,"kiraitu, apk, kalonzo, uhuru, saitoti"
standard,2012-05-31,Njenga promises Uhuru rough time in Central,"njenga, uhuru, central"
