source,date,headline,entities
standard,2017-05-02,Atwoli hints about the details of COTUs letter to Uhuru,"atwoli, cotu, uhuru"
daily_nation,2017-05-03,Uhurus re-election campaigner ditches Jubilee,"uhuru, jubilee"
daily_nation,2017-05-03,Uhuru pushes closer Kenya-Somalia ties,"uhuru, kenya, somalia"
standard,2017-05-03,One unhonourable thing Kenyans feel Atwoli did to Uhuru during the labour day celebratio,"atwoli, uhuru"
standard,2017-05-05,FKE hit at Uhuru for announcement of increment in minimum wage,"fke, uhuru"
daily_nation,2017-05-06,Jubilee to unveil Uhuru and Ruto as its candidates,"uhuru, ruto, jubilee"
daily_nation,2017-05-07,"Jubilee formally endorses Uhuru, Ruto","uhuru, ruto, jubilee"
standard,2017-05-08,Food prices:  battle for Uhuru and Ruto,"uhuru, ruto"
standard,2017-05-08,Uhuru set to visit UK and China this month,"uhuru, uk, china"
daily_nation,2017-05-09,Uhuru asks UN to help stabilise Somalia,"uhuru, un, somalia"
daily_nation,2017-05-09,PNU still firm in its support for Uhuru - Munya says,"pnu, uhuru, munya"
daily_nation,2017-05-10,Uhuru: Jubilee will uplift all Kenyans,"uhuru, jubilee"
standard,2017-05-10,Boost Somalia war chest Uhuru urges UN,"somalia, uhuru, un"
standard,2017-05-11,KDF to stay and pacify Somalia says Uhuru,"kdf, somalia, uhuru"
daily_nation,2017-05-12,Uhuru meets UK prime minister Theresa May,"uhuru, uk, theresa may"
daily_nation,2017-05-12,Uhuru lobbies for additional troops to stabilise Somalia,"uhuru, somalia"
standard,2017-05-12,Uhuru: Let us boost Amisom,"uhuru, amisom"
daily_nation,2017-05-13,Uhuru and Raila battle for numbers,"uhuru, raila"
daily_nation,2017-05-13,Uhuru: Why I am returning to China,"uhuru, china"
standard,2017-05-13,Uhuru calls on interal community to fund the fight against terrorism-Amiso,"uhuru, amisom"
daily_nation,2017-05-14,Uhuru seeks funds to extend railway to Malaba,"uhuru, malaba"
daily_nation,2017-05-14,Crowded race complicates matters for Uhuru and Raila,"uhuru, raila"
daily_nation,2017-05-14,Uhuru directs probe into cause of Nakuru crash,"uhuru, nakuru"
standard,2017-05-15,Uhuru hopes for more deals from China partners,"uhuru, china"
daily_nation,2017-05-16,Uhuru seeks more billions for SGR,"uhuru, sgr"
daily_nation,2017-05-19,Uhurus challenge to the judiciary,"uhuru, judiciary"
daily_nation,2017-05-20,Uhuru puts Raila on spot over past 'sins',"uhuru, raila"
daily_nation,2017-05-20,Jubilee hunts for youth votes for UhuRuto,"uhuru, ruto, jubilee"
daily_nation,2017-05-20,"Raila says he'd give Uhuru, Ruto jobs","raila, uhuru, ruto"
daily_nation,2017-05-21,Chaos in Isiolo ahead of Uhuru's rally,"uhuru, isiolo"
daily_nation,2017-05-21,"Ababu endorses Uhuru, Ruto for re-electio","namwamba, uhuru, ruto"
daily_nation,2017-05-21,Why Uhuru reached out to Puti,"uhuru, putin"
standard,2017-05-21,Isiolo Senator Mohammed Kuti condemns incident where a supporter was killed after Uhuru's,"mohammed kuti, uhuru, isiolo"
standard,2017-05-21,Uhuru and Ruto face dilemma over wave of independents,"uhuru, ruto"
standard,2017-05-21,We will not punish you Raila tells UhuRuto,"raila, uhuru, ruto"
standard,2017-05-21,Uhuru's former adviser set to launch his presidential campaign as an independent candidate,"uhuru, joe nyagah"
standard,2017-05-21,Did foetus scare Uhuru from Ngong visit?,"uhuru, ngong"
daily_nation,2017-05-22,With or without NASA elections will go on as planned - Uhuru,"nasa, uhuru"
daily_nation,2017-05-22,Raila: Uhuru looking for scapegoat in maize shortage scandal,"raila, uhuru"
standard,2017-05-22,Uhuru to ride in first SGR wagon next week,"uhuru, sgr"
daily_nation,2017-05-24,Uhuru condemns UK attack,"uhuru, uk"
daily_nation,2017-05-24,Kenyatta returns to Nyandarua woman rep race,"uhuru, nyandarua"
standard,2017-05-24,Uhuru lays foundation stone for the tallest building in Africa,"uhuru, africa"
daily_nation,2017-05-25,Uhuru starts Coast tour in Lam,"uhuru, coast, lamu"
standard,2017-05-25,KTN Prime : Uhuru in Coast part 1,"uhuru, coast"
standard,2017-05-25,"Uhuru, Raila camps divided over independents","uhuru, raila"
daily_nation,2017-05-26,Uhuru and Ruto extended political campaign in coas,"uhuru, ruto, coast"
daily_nation,2017-05-26,Stop attacking me Uhuru tells Mwakwere,"uhuru, makwere"
daily_nation,2017-05-26,KENYATTA: Kenya an ambassador for Africa and partner to powerful s,"uhuru, kenya, africa"
daily_nation,2017-05-28,Uhuru talks Africa's trade opportunities at G7 summi,"uhuru, africa, g7"
daily_nation,2017-05-28,President Kenyatta asks world leaders to invest directly in Africa,"uhuru, africa"
daily_nation,2017-05-28,"A peep at Uhuru, Raila political journeys","uhuru, raila"
daily_nation,2017-05-28,Uhuru allies jostle for control of Jubilee funds,"uhuru, jubilee"
standard,2017-05-28,Maa leaders want Uhuru to fire CS Joseph Nkaisery over alleged misuse of power,"uhuru,nkaissery"
standard,2017-05-28,Uhuru and Raila lieutenants take charge of vote hunt in key regions,"uhuru, raila"
standard,2017-05-28,UhuRuto heckled in Kilifi over maize meal,"kilifi, uhuru, ruto"
daily_nation,2017-05-29,Uhuru holds key talks with G7 leaders,"uhuru, g7"
daily_nation,2017-05-29,Ogiek ask Uhuru to enforce court ruling,"uhuru, ogiek"
daily_nation,2017-05-29,President Kenyatta y to submit papers to IEBC,"uhuru, iebc"
daily_nation,2017-05-29,IEBC clears Raila in bid to oust Uhuru,"iebc, raila, uhuru"
standard,2017-05-29,Uhurus grand ride nears but no insurance cover for SGR wagons,"uhuru, sgr"
daily_nation,2017-05-30,Uhuru: Sonko best man for city top job,"uhuru, sonko"
daily_nation,2017-05-30,Uhuru to flag off SGR cargo trial ru,"uhuru, sgr"
standard,2017-05-30,Uhuru Ruto start journey for second term,"uhuru, ruto"
standard,2017-05-30,Uhurus date with IEBC after Raila,"uhuru, iebc, raila"
standard,2017-05-30,Hits misses of Jubilee promises as Uhuru seeks re-election,"jubilee, uhuru"
standard,2017-05-30,Uhuru and Railas strange coincidence,"uhuru, raila"
standard,2017-05-30,Talking to the world: The meaning of Uhuru's address at G7 summi,"uhuru, g7"
daily_nation,2017-05-31,Uhuru leads as Raila gains in tighter race,"uhuru, raila"
daily_nation,2017-05-31,Joho free to attend Uhuru SGR launch but must follow protocol - Kiraithe,"joho, uhuru, sgr"
daily_nation,2017-05-31,Ipsos poll puts Uhuru ahead of Raila,"ipsos, uhuru, raila"
daily_nation,2017-05-31,Uhuru mourns ex-assistant minister James Mbori,"uhuru, james mbori"
standard,2017-05-31,Ipsos: Raila inches closer to Uhuru in race to State House,"raila, uhuru, state house, ipsos"
standard,2017-05-31,Prepare for poll defeat Ngilu tells UhuRuto,"uhuru, ngilu, ruto"
daily_nation,2017-06-01,'Dare vandalise any SGR installation and you will face the gallows' - Uhuru,"sgr, uhuru"
daily_nation,2017-06-01,Raila to join Uhuru on Madaraka Day,"raila, uhuru"
daily_nation,2017-06-01,Uhuru criticises Nasa for opposing projects,"uhuru, nasa"
standard,2017-06-01,Rais Uhuru awasili katika kituo cha treni ya kisasa huko Syokima,"uhuru, syokimau"
standard,2017-06-01,How Uhuru snatched Sh5bn SGR deal from Raila ma,"uhuru, raila, sgr"
standard,2017-06-01,Uhuru to sanction hanging of SGR saboteurs,"uhuru, sgr"
standard,2017-06-01,Uhuru re attack on Joho ahead of SGR launch,"uhuru, joho, sgr"
standard,2017-06-01,Uhuru reduces SGR passenger train tickets to Sh7,"uhuru, sgr"
daily_nation,2017-06-02,Nasa plan to lock Uhuru out of Wester,"nasa, uhuru, western"
standard,2017-06-02,Uhuru leads Madaraka Day celebrations in Nyeri: Choice 217 pt 1,"uhuru, nyeri"
standard,2017-06-02,Kenyans react to Uhuru's refusal to allow Raila address Kenyans,"uhuru, raila"
standard,2017-06-02,Uhuru ignores Raila during Madaraka fete,"uhuru, raila"
daily_nation,2017-06-03,"Uhuru, Raila reach out to restive bases","uhuru, raila"
daily_nation,2017-06-03,Nyeri dancers paid Sh3m after Uhuru intervenes,"uhuru, nyeri"
daily_nation,2017-06-03,Uhuru issues title deed to Kibra Nubians,"uhuru, kibra, nubians"
standard,2017-06-03,Uhuru and Raila fight for 3.7m votes that could tilt the scales,"uhuru, raila"
daily_nation,2017-06-04,Hassan Joho sends a stern warning to UhuRuto governmen,"joho, uhuru, ruto"
daily_nation,2017-06-04,OTIENO: Why Raila sight made Uhuru and Ruto see demons in Nyeri,"raila, uhuru, nyeri"
standard,2017-06-04,Cut links with independents or we back NASA Uhuru told,"nasa, uhuru"
daily_nation,2017-06-05,Uhuru says Raila is a copyca,"uhuru, raila"
daily_nation,2017-06-05,Stop clinging on Raila for survival Uhuru told,"raila, uhuru"
daily_nation,2017-06-05,Inside Uhuru and Raila's campaign machines,"uhuru, raila"
standard,2017-06-05,Senator Moi explains Kanus decision to back Uhuru re-electio,"kanu, uhuru, moi"
daily_nation,2017-06-06,Uhuru takes vote hunt to Kisii Kakamega,"uhuru, kisii, kakamega"
daily_nation,2017-06-06,Democratic Party: End Uhuru succession talk,"democratic party, uhuru"
daily_nation,2017-06-06,GAITHO: Uhuru and Raila must rein in violent campaign talk mongers,"uhuru, raila, uhuru"
standard,2017-06-06,"Queries as Uhuru, Ruto offices get Sh1.3 billion additional budge","uhuru, ruto"
daily_nation,2017-06-07,Uhuru begins tour of Nyanza Western and Rift Valley,"uhuru, nyanza, western, rift valley"
daily_nation,2017-06-07,Uhuru goes to Kisii on vote hunt,"uhuru, kisii"
daily_nation,2017-06-07,Uhuru gives IDP families Sh358 millio,"uhuru, idps"
daily_nation,2017-06-08,Prepare to quit  after August poll Uhuru tells Raila,"uhuru, raila"
daily_nation,2017-06-08,Uhuru created this hunger  Raila,"uhuru, raila"
daily_nation,2017-06-08,Uhuru manufactured this hunger says Raila,"uhuru, raila"
daily_nation,2017-06-09,Uhuru issues title deeds in Trans Nzoia,"uhuru, trans nzoia"
daily_nation,2017-06-09,Uhuru and Raila to face each other in debate,"uhuru, raila"
daily_nation,2017-06-09,Uhuru in western Nasa in Coast,"uhuru, western, nasa, coast"
daily_nation,2017-06-09,Kiraitu vows to fund elderly Uhuru supporter,"kiraitu, uhuru"
daily_nation,2017-06-10,Uhuru tours Eldoret to stop fallou,"uhuru, eldoret"
daily_nation,2017-06-10,Raila will lose to Uhuru in August - Ababu,"raila, uhuru, namwamba"
daily_nation,2017-06-10,Twitter users engage President Kenyatta on corruptio,"uhuru, twitter"
standard,2017-06-10,"The billionaires oiling Uhuru, Raila campaigns","uhuru, raila"
standard,2017-06-10,UhuRuto buying votes with IDP money NASA claims,"idps, nasa, uhuru, ruto"
standard,2017-06-10,Billionaires oiling Uhuru and Railas campaigns: The powerful names in business circles that have lined up to mobilise unlimited funding for the top p,"uhuru, raila"
daily_nation,2017-06-11,Senator James Orengo wants President Kenyatta sued,"orengo, uhuru"
daily_nation,2017-06-11,Uhuru and Ruto call for Mandago suppor,"uhuru, mandago, ruto"
daily_nation,2017-06-11,Nasa in Makueni Uhuru in Eldore,"nasa, makueni, uhuru, eldoret"
standard,2017-06-11,"Uhuru, Ruto rush to contain discord in Jubilee Party","uhuru, ruto, jubilee"
standard,2017-06-11,Jubilee Governor embarrassed during Uhuru's visit to his county,"uhuru, jubilee"
standard,2017-06-11,Uhuru and Ruto fly into storm in Uasin Gishu as ethnic tensions simmer,"uhuru, uasin gishu, ruto"
daily_nation,2017-06-12,Uhuru honours SGR diplomats contractors,"uhuru, sgr"
standard,2017-06-12,Uhuru criticizes NASA leaders for engaging in careless talk,"uhuru, nasa"
standard,2017-06-12,Looming crisis as Sanator Moi moves to meet Uhuru over Ruto,"gideon, uhuru, ruto"
standard,2017-06-12,The unwanted twin part II: Uhuru is my friend watch out- Nitin Malde Chairman the Hindu Council of Kenya,"uhuru, nitin malde, the hindu council, kenya"
daily_nation,2017-06-13,Uhuru opens Sh4m line at Eldoret  KCC,"uhuru, eldoret, kcc"
daily_nation,2017-06-13,Uhuru honours Nandi hero Koitalel Samoei,"uhuru, nandi, koitalel samoei"
standard,2017-06-13,ICC  awakened as Uhuru woos Nandi voters,"icc, uhuru, nandi"
standard,2017-06-13,Uhuru orders audit of funds given for Nzoia cane farmers,"uhuru, trans nzoia"
daily_nation,2017-06-14,"We will run peaceful campaigns say Uhuru, Raila","uhuru, raila"
daily_nation,2017-06-14,Kalonzo Musyoka hits out at Uhuru for dishing out money during campaigns,"kalonzo, uhuru"
daily_nation,2017-06-14,Uhuru and Ruto wrap up North Rift tour,"uhuru, north rift, ruto"
daily_nation,2017-06-14,"Uhuru, Ruto meet rowdy crowd in Ite","uhuru, ruto"
standard,2017-06-14,"Uhuru, Raila clash over election plans","uhuru, raila"
standard,2017-06-14,Uhuru-Ruto campaign lands Anne Waiguru major boost in Kirinyaga race,"uhuru, waiguru, kirinyaga"
standard,2017-06-14,Troubled Jubilee governors have space to breathe after UhuRuto visits,"uhuru, ruto"
daily_nation,2017-06-15,UhuRuto compelled to talk about flour shortage,"uhuru, ruto"
daily_nation,2017-06-15,UhuRuto tour Busia County,"uhuru, ruto, busia"
daily_nation,2017-06-15,"Uhuru, Ruto said to exploit ICC ghos","uhuru, ruto, icc"
standard,2017-06-15,"Jubilee in Kericho- Uhuru, Ruto back in the North Rif","kericho, north rift, ruto, uhuru"
daily_nation,2017-06-16,"Uhuru, Ruto say Nasa wants to delay electio","uhuru, ruto, nasa"
daily_nation,2017-06-17,Mwangi Kiunjuri blasts Raila for his continuous attack on Uhuru,"kiunjuri, raila, uhuru"
daily_nation,2017-06-17,Did Uhuru sp social media propaganda about Kalonzo?,"uhuru, kalonzo"
daily_nation,2017-06-17,UhuRuto pitch camp in Bome,"uhuru, ruto, bomet"
daily_nation,2017-06-17,Stop inciting Kenyans Uhuru tells Raila,"uhuru, raila"
daily_nation,2017-06-17,"GAITHO: Why Uhuru, Raila manifestos will mirror each other","uhuru, raila, gaitho"
standard,2017-06-17,Uhuru and Raila in war of words over incitement as JP woos Rif,"uhuru, raila, jubilee, rift valley"
daily_nation,2017-06-18,Uhuru: Nasa has nothing to offer,"uhuru, nasa"
daily_nation,2017-06-18,Kanu Leaders caution Uhuru on over reliance on jubilee leaders in the regio,"kanu, uhuru, jubilee"
daily_nation,2017-06-18,UhuRuto Express team takes Jubilee campaigns to South Rif,"uhuru, ruto, south rift"
standard,2017-06-18,Uhuru back to Western to seek share of 1.9 million Luhya votes,"uhuru, western, luhya"
daily_nation,2017-06-19,Raila: Uhuru is insincere in war against hunger,"raila, uhuru"
standard,2017-06-19,Uhuru: NASA plotting to reject poll results,"uhuru, nasa"
standard,2017-06-19,Sincere letter to President Kenyatta over CHAN rights,"uhuru, chan"
standard,2017-06-19,NASA: We will not go to Dubai presidential candidate demands that IEBC shuts Uhuru and Raila,"nasa, dubai, iebc, uhuru, raila"
daily_nation,2017-06-20,Kiambu  plays out in UhuRuto tour,"kiambu, uhuru, ruto"
standard,2017-06-20,"Raila, Uhuru back to hot land debate","raila, uhuru"
standard,2017-06-20,Supremacy wars rock Uhurus campaign in Kiamb,"uhuru, kiambu"
standard,2017-06-20,"Independent candidates complicate Uhuru, Raila campaign trails","uhuru, raila"
daily_nation,2017-06-21,Im with Uhuru not Nasa Munya says,"uhuru, nasa, munya"
daily_nation,2017-06-22,Uhuru wants Raila to say if he'll accept results,"uhuru, raila"
daily_nation,2017-06-22,"Stop personalised attacks ANC tells Uhuru, Ruto","anc, uhuru, ruto"
daily_nation,2017-06-22,UhuRuto tour Murang'a County,"uhuru, ruto, muranga"
standard,2017-06-22,Elders in Kamba land endorse Uhuru second bid,"uhuru, kamba"
daily_nation,2017-06-23,Uhuru expected to appoint two from Kajiado and Narok,"uhuru, kajiado, narok"
daily_nation,2017-06-23,UhuRuto in Nyeri Nasa in Trans Nzoia,"nyeri, uhuru, ruto, nasa, trans nzoia"
standard,2017-06-23,Moses Kuria face hostility in Nyamira as he campaigns for Uhuru,"kuria, nyamira, uhuru"
standard,2017-06-23,"Uhuru, Ruto warn Raila team","uhuru, ruto, raila"
daily_nation,2017-06-24,UhuRuto in Meru Raila in Bungoma,"uhuru, ruto, meru"
daily_nation,2017-06-24,Uhuru to launch Sh274m stadium project in Tharaka-Nithi,"uhuru, tharaka"
daily_nation,2017-06-24,Munya: I wont keep off Uhuru's Meru tour,"munya, uhuru, meru"
daily_nation,2017-06-24,MAKOKHA: How to quickly put Uhuru and Ruto back in ICC dock,"uhuru, icc, makokha"
standard,2017-06-24,Raila aongoza kampeni za NASA-Bungoma Rais Uhuru akiwa maeneo ya Mer,"raila, nasa, meru, nasa, bungoma, uhuru"
standard,2017-06-24,Raila 'wants polls postponed' Uhuruto claims,"raila, uhuru, ruto"
standard,2017-06-24,Uhuru: NASA's 1 million slogan leaves out other Kenyans,"uhuru, nasa"
daily_nation,2017-06-25,Rebellion seen in Uhuru's tour of Mt Kenya,"uhuru,mt. kenya"
daily_nation,2017-06-26,Govt releases road funds ahead of Uhuru Ukambani tour,"uhuru, kamba"
standard,2017-06-26,Uhuru yuko Kaimosi : Rais Kenyatta pia yuko Magharibi,"uhuru, kaimosi"
standard,2017-06-26,Uhuru best friend's move to NASA leaves Jubilee in tremorCS Nkaissery is said to have been supporting him,"uhuru, nasa, nkaissery"
standard,2017-06-26,Let alone humiliation before Uhuru here is why Ababu could face a major setback this week,"uhuru, namwamba"
daily_nation,2017-06-27,Munya Kiraitu wars deepen after Uhuru tour,"munya, kiraitu, uhuru"
daily_nation,2017-06-27,"GAITHO: IEBC boss Uhuru, Raila and Ruto hold key to peaceful poll","uhuru, raila, ruto, gaitho"
standard,2017-06-27,Uhuru woos Vihiga residents with goodies,"uhuru, vihiga"
daily_nation,2017-06-28,Uhuru campaigns in Tharaka-Nithi,"uhuru, tharaka"
daily_nation,2017-06-28,Independents place UhuRuto in tight corner,"uhuru, ruto"
daily_nation,2017-06-28,Ill be in Uhurus meeting insists Ragwa,"uhuru, ragwa"
daily_nation,2017-06-29,Graft lords funding Nasa Uhuru says,"nasa, uhuru"
daily_nation,2017-06-29,Uhuru leads Jubilee Party campaigns in Kirinyaga,"uhuru, jubilee, kirinyaga"
daily_nation,2017-06-29,Uhuru's re-election campaign in Mandera threatens to disintegrate,"uhuru, mandera"
daily_nation,2017-06-29,Uhuru in Kirinyaga Raila in Narok,"uhuru, kirinyaga, raila, narok"
standard,2017-06-29,Sources: Uhuru in Kirinyaga,"uhuru, kirinyaga"
standard,2017-06-29,"Uhuru, Ruto tear apart NASA manifesto in Kirinyaga campaigns","nasa, kirinyaga, uhuru, ruto"
standard,2017-06-29,Uhuru fails to endorse Waiguru Karua for Kirinyaga governor's sea,"uhuru, waiguru, karua, kirinyaga"
standard,2017-06-29,Ex-convict sells land to campaign for Uhuru in Kisum,"uhuru, kisumu"
standard,2017-06-29,Uhuru says 11 jobs expected in Sh15b  Kisumu brewery,"uhuru, kisumu"
standard,2017-06-29,Uhuru promises to double HELB allocation for university students,"uhuru, helb"
daily_nation,2017-06-30,Ruto accused of damaging Uhuru's re-election bid,"ruto, uhuru"
daily_nation,2017-06-30,UhuRuto in Embu Nasa in Narok,"embu, nasa, narok, uhuru, ruto"
standard,2017-06-30,Rais Uhuru apeleka kampeini za chama cha Jubilee maeneo ya Emb,"uhuru, jubilee"
daily_nation,2017-07-01,"Uhuru, Raila fall short of magical 5pc suppor","uhuru, raila"
daily_nation,2017-07-01,Uhuru senators mourn G G Kariuki,"uhuru, g g kariuki"
daily_nation,2017-07-01,Uhuru launches water project as he woos Kamba voters,"uhuru, kamba"
daily_nation,2017-07-01,Uhuru in Ukambani Nasa in Migori,"uhuru, kamba, nasa, migori"
daily_nation,2017-07-01,Uhuru leads Raila in  poll,"uhuru, raila"
standard,2017-07-01,"Why Raila, Uhuru arent breaking  ground with their manifestos","uhuru, raila"
standard,2017-07-01,IEBC involved Raila and Uhuru in ballots tender awarding court told,"raila, uhuru, iebc"
daily_nation,2017-07-02,"Uhuru, Raila race against time to stop party sibling rivalry","uhuru, raila"
daily_nation,2017-07-02,Maa professionals pledge support for UhuRuto ahead of polls,"uhuru, ruto, maasai"
daily_nation,2017-07-02,Nasa in Bomet UhuRuto in Makueni,"nasa, bomet, uhuru, ruto, makueni"
daily_nation,2017-07-02,OTIENO: How UhuRuto played Pastor Kanyari on the youth at Kasarani,"uhuru, ruto, kanyari, kasarani"
standard,2017-07-02,Uhuru woos Kalonzo with 222 deal,"uhuru, kalonzo"
standard,2017-07-02,OPEN LETTER TO Uhuru: I regret why I was born in Kenya,"kenya, uhuru"
daily_nation,2017-07-04,Homa Bay leaders bicker over Uhuru visi,"homa bay, uhuru"
daily_nation,2017-07-04,Munya threatens to stop supporting Uhuru,"munya, uhuru"
standard,2017-07-04,Governor Munya threatens to withdraw support for Uhuru re-electio,"munya, uhuru"
daily_nation,2017-07-05,Uhuru courts Ukambani voters,"uhuru, kamba"
daily_nation,2017-07-05,Raila in Kiambu Uhuru in Machakos,"raila, kiambu, uhuru, machakos"
standard,2017-07-05,Stop misleading Kambas with fake projects Kalonzo tells Uhuru,"kamba, kalonzo, uhuru"
daily_nation,2017-07-06,Stop 'inciting' Kenyans Uhuru warns Nasa,"uhuru, nasa"
daily_nation,2017-07-06,Kalonzo plays down Uhuru's project launches,"kalonzo, uhuru"
daily_nation,2017-07-06,Uhuru tells Kajiado residents to vote Jubilee as Nasa has no agenda,"uhuru, kajiado, jubilee, nasa"
daily_nation,2017-07-06,"Uhuru, Raila consulted on debate","uhuru, raila"
daily_nation,2017-07-06,Uhuru takes vote hunt to Kajiado,"uhuru, kajiado"
daily_nation,2017-07-06,MPs push Uhuru on Mandera killings,"uhuru, mandera"
standard,2017-07-06,"What Uhuru, Raila will tackle at the Presidential Debate","uhuru, raila"
standard,2017-07-06,Uhuru: Raila must be rejected for inciting Kenyans,"uhuru, raila"
standard,2017-07-06,Both Raila and Uhuru to miss first presidential debate,"raila, uhuru"
standard,2017-07-06,Storm in Uhurus party over list of nominees sent to IEBC,"uhuru, iebc"
daily_nation,2017-07-07,Uhuru moves to protect South Rif,"uhuru, south rift"
standard,2017-07-07,Support us to change your s Uhuru woos Bomet residents,"uhuru, bomet"
daily_nation,2017-07-08,Battle for Maasai votes on as Uhuru doles out jobs,"maasai, uhuru"
daily_nation,2017-07-08,Uhuru meets China's Defence Minister,"uhuru, china"
standard,2017-07-08,Uhuru and Raila set to share a podium today  but not for the presidential debate,"uhuru, raila"
daily_nation,2017-07-09,Uhuru Cabinet mourn Nkaiserry,"uhuru, nkaissery"
daily_nation,2017-07-09,OPANGA: Nairobi candidates spurned chance to sell agenda  Uhuru and Raila can do better,"opanga, nairobi, uhuru, raila"
standard,2017-07-09,Uhurus tough balancing act as he pursues Mt Kenya vote,"uhuru, mt. kenya"
standard,2017-07-09,I personally have lost a friend: Uhuru mourns Nkaissery appoints Fred Matiangi acting Interior CS,"uhuru, nkaissery, matiangi, interior ministry"
daily_nation,2017-07-10,Uhuru Maraga clash over IEBC,"uhuru, maraga, iebc"
standard,2017-07-10,UhuRuto protest over IEBC hurdles,"iebc, uhuru, ruto"
standard,2017-07-10,Uhuru's move that left Raila shocked after Nkaissery's death,"uhuru, raila, nkaissery"
daily_nation,2017-07-11,Uhuru: Nasa not y for polls,"uhuru, nasa"
daily_nation,2017-07-11,Don't try me - Uhuru sends warning to Nasa IEBC and the Judiciary,"uhuru, nasa, iebc, judiciary"
daily_nation,2017-07-11,LSK accuses Uhuru of intimidating Judiciary,"lsk, uhuru, judiciary"
daily_nation,2017-07-11,UhuRuto take campaigns to Turkana,"turkana, uhuru, ruto"
daily_nation,2017-07-11,GAITHO: Uhuru threat against courts heralds creeping dictatorshi,"uhuru, gaitho"
standard,2017-07-11,Uhuru rescues farmers from Sh1.5b AFC deb,"uhuru, afc"
daily_nation,2017-07-12,Uhuru out to reject results: Raila,"uhuru, raila"
daily_nation,2017-07-12,Uhuru wants Raila to quit race if not y,"uhuru, raila"
daily_nation,2017-07-12,Uhuru lobbies welcome SRC pay cuts,"uhuru, src"
daily_nation,2017-07-12,Uhuru in Narok Nasa in Mandera,"uhuru, narok, nasa, mandera"
daily_nation,2017-07-12,Uhuru to campaign in Kisum,"uhuru, kisumu"
daily_nation,2017-07-12,Uhuru tours Narok Raila in Mandera,"uhuru, narok, raila, mandera"
standard,2017-07-12,Uhuru raids Raila's backyard with bag of goodies,"uhuru, raila"
standard,2017-07-12,Jubilee not interested in ballot paper tender talks says Uhuruto,"jubilee, uhuru, ruto"
standard,2017-07-12,A letter to Uhuru and Raila,"uhuru, raila"
standard,2017-07-12,Raila- Uhuru plans to reject August polls,"uhuru, raila"
daily_nation,2017-07-13,Uhuru storms Raila's backyard,"uhuru, raila"
daily_nation,2017-07-13,"Uhuru, Ruto visit Homa Bay","homa bay, uhuru, ruto"
daily_nation,2017-07-13,Uhuru campaigns in Railas backyard,"uhuru, raila"
daily_nation,2017-07-13,Uhuru opens Under 18 event at Kasarani,"uhuru, kasarani"
daily_nation,2017-07-13,Uhuru: Migingo Island is in Kenya,"uhuru, migingo, kenya"
standard,2017-07-13,Sources: Should Uhuru interfere with the independence of the Judiciary?,"uhuru, judiciary"
standard,2017-07-13,Uhuru keeps off opposition attacks as Ruto is heckled in Nyanza,"uhuru, ruto, nyanza"
standard,2017-07-13,Uhuru declares IAAF U18 Championships free for all,"uhuru, iaaf"
standard,2017-07-13,Jack-of-all-trades! Uhuru defies odds as he drives bus in Narok,"uhuru, narok"
daily_nation,2017-07-14,How Nkaissery's move shocked Uhuru,"uhuru, nkaissery"
daily_nation,2017-07-14,Uhuru: Raila must declare he will accept defea,"uhuru, raila"
daily_nation,2017-07-14,"Ruto condemns violence against Uhuru, Raila","uhuru, raila"
standard,2017-07-14,Uhuru tells off Raila,"uhuru, raila"
standard,2017-07-14,Kenyans respond after Uhuru downs a glass of beer in Kisum,"uhuru, kisumu"
standard,2017-07-14,Atwoli  I am the third most popular person in Kenya after Uhuru and Raila,"atwoli, kenya, uhuru, raila"
daily_nation,2017-07-15,Senior counsels caution Uhuru over threats to Judiciary,"uhuru, judiciary"
daily_nation,2017-07-15,Ranguma: I didnt meet Uhuru in Kisum,"uhuru, kisumu, ranguma"
daily_nation,2017-07-16,Uhurus dilemma in Rift Valley and Central,"rift valley, central, uhuru"
daily_nation,2017-07-16,Nurses petition Uhuru to address their grievances,"nurses, uhuru"
daily_nation,2017-07-16,GAITHO: Uhuru and Raila fail leadership test agai,"uhuru, raila, gaitho"
standard,2017-07-16,Uhuru taunts NASA leaders,"uhuru, nasa"
standard,2017-07-16,Uhurus criticism of Judiciary,"uhuru, judiciary"
standard,2017-07-16,Jobs on the cards as Uhuru breaks ground for Kisumu brewery,"uhuru, kisumu"
daily_nation,2017-07-17,Uhuru: Jubilee has done a lot for Coas,"uhuru, coast, jubilee"
standard,2017-07-17,Uhuru Joho trade harsh words in rival rallies,"uhuru, joho"
standard,2017-07-17,Uhuru and Raila to visit unreached areas in hunt for votes,"uhuru, raila"
daily_nation,2017-07-18,Face Raila in debate Uhuru told,"raila, uhuru"
daily_nation,2017-07-18,Uhuru to Joho: Mombasa is stinking,"uhuru, joho, mombasa"
daily_nation,2017-07-18,UhuRuto intensify campaigns in Coas,"uhuru, ruto, coast"
daily_nation,2017-07-18,KENYATTA: Nkaissery exemplified the best for country lets emulate him,"uhuru, nkaissery"
daily_nation,2017-07-18,Kill and bury Shabaab militants Uhuru tells police,"alshabaab, uhuru"
standard,2017-07-18,"Uhuru, Raila in grueling vote-hunt as campaigns enter homestretch","uhuru, raila"
daily_nation,2017-07-19,Put off poll? No way Uhuru tells Nasa,"uhuru, nasa"
daily_nation,2017-07-19,Kikwetes message to Uhuru and Raila,"uhuru, raila, kikwete"
